States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Uttar Pradesh,,Total Kharif Pulses,1986-1987,939.50,797.30,849
West Bengal,,Total Kharif Pulses,1986-1987,42.50,27.20,640
India,,Total Kharif Pulses,1986-1987,17601.00,5966.60,339
Andhra Pradesh,,Total Kharif Pulses,1987-1988,1468.30,555.60,378
Assam,,Total Kharif Pulses,1987-1988,8.70,6.20,713
Bihar,,Total Kharif Pulses,1987-1988,443.10,242.00,546
Dadra & Nagar Haveli  ,,Total Kharif Pulses,1987-1988,5.70,4.00,702
Delhi,,Total Kharif Pulses,1987-1988,1.50,0.60,400
Gujarat,,Total Kharif Pulses,1987-1988,576.20,146.70,255
Haryana,,Total Kharif Pulses,1987-1988,51.30,37.40,729
Himachal Pradesh,,Total Kharif Pulses,1987-1988,58.60,4.90,84
Jammu & Kashmir,,Total Kharif Pulses,1987-1988,74.30,26.80,361
Karnataka,,Total Kharif Pulses,1987-1988,1873.00,711.50,380
Kerala,,Total Kharif Pulses,1987-1988,12.40,9.80,790
Madhya Pradesh,,Total Kharif Pulses,1987-1988,2448.50,869.70,355
Maharashtra,,Total Kharif Pulses,1987-1988,3830.30,1741.90,455
Meghalaya,,Total Kharif Pulses,1987-1988,0.90,0.70,778
Nagaland,,Total Kharif Pulses,1987-1988,5.90,3.20,542
