States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)",,,,
Punjab,,Arhar (Tur/Red gram),2014-2015,2.60,2.40,923,,,,
Rajasthan ,,Arhar (Tur/Red gram),2014-2015,13.17,9.69,736,,,,
Tamil Nadu,,Arhar (Tur/Red gram),2014-2015,72.40,77.00,1064,,,,
Telangana,,Arhar (Tur/Red gram),2014-2015,220.04,109.00,495,,,,
Tripura,,Arhar (Tur/Red gram),2014-2015,2.52,1.82,722,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),2014-2015,287.00,174.00,606,,,,
Uttarakhand,,Arhar (Tur/Red gram),2014-2015,3.58,3.23,902,,,,
West Bengal,,Arhar (Tur/Red gram),2014-2015,2.05,2.94,1434,,,,
India ,,Arhar (Tur/Red gram),2014-2015,3853.54,2807.32,729,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),2015-2016,220.00,132.00,600,,,,
Arunachal Pradesh,,Arhar (Tur/Red gram),2015-2016,0.61,0.55,905,,,,
Assam,,Arhar (Tur/Red gram),2015-2016,6.37,5.60,880,,,,
Bihar,,Arhar (Tur/Red gram),2015-2016,23.54,37.13,1577,,,,
Chhattisgarh,,Arhar (Tur/Red gram),2015-2016,64.40,29.50,458,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),2015-2016,1.22,1.46,1200,,,,
Delhi ,,Arhar (Tur/Red gram),2015-2016,0.32,1.12,3522,,,,
Gujarat,,Arhar (Tur/Red gram),2015-2016,229.00,257.58,1125,,,,
Haryana,,Arhar (Tur/Red gram),2015-2016,5.00,5.00,1000,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),2015-2016,0.05,0.02,326,,,,
Jharkhand,,Arhar (Tur/Red gram),2015-2016,197.21,178.08,903,,,,
Karnataka,,Arhar (Tur/Red gram),2015-2016,657.00,242.00,368,,,,
Kerala,,Arhar (Tur/Red gram),2015-2016,1.43,1.85,1289,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),2015-2016,579.00,624.80,1079,,,,
Maharashtra,,Arhar (Tur/Red gram),2015-2016,1237.00,556.65,450,,,,
Manipur,,Arhar (Tur/Red gram),2015-2016,0.53,0.58,1094,,,,
Meghalaya,,Arhar (Tur/Red gram),2015-2016,1.15,1.49,1295,,,,
Nagaland,,Arhar (Tur/Red gram),2015-2016,3.05,2.75,902,,,,
Odisha,,Arhar (Tur/Red gram),2015-2016,138.29,122.52,886,,,,
Punjab,,Arhar (Tur/Red gram),2015-2016,2.60,2.60,1000,,,,
Rajasthan ,,Arhar (Tur/Red gram),2015-2016,12.20,6.68,548,,,,
Tamil Nadu,,Arhar (Tur/Red gram),2015-2016,59.01,53.58,908,,,,
Telangana,,Arhar (Tur/Red gram),2015-2016,248.00,104.00,419,,,,
Tripura,,Arhar (Tur/Red gram),2015-2016,4.20,2.89,687,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),2015-2016,265.00,183.00,691,,,,
Uttarakhand,,Arhar (Tur/Red gram),2015-2016,4.34,3.34,770,,,,
West Bengal,,Arhar (Tur/Red gram),2015-2016,2.84,4.20,1480,,,,
India ,,Arhar (Tur/Red gram),2015-2016,3963.35,2560.96,646,,,,
Andaman & Nicobar Islands,,Arhar (Tur/Red gram),2016-2017,0.01,0.00,43,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),2016-2017,350.00,133.00,380,,,,
Arunachal Pradesh,,Arhar (Tur/Red gram),2016-2017,0.79,0.64,814,,,,
Assam,,Arhar (Tur/Red gram),2016-2017,5.72,4.91,858,,,,
Bihar,,Arhar (Tur/Red gram),2016-2017,20.98,33.17,1581,,,,
Chhattisgarh,,Arhar (Tur/Red gram),2016-2017,66.20,39.60,598,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),2016-2017,1.56,4.50,2886,,,,
Gujarat,,Arhar (Tur/Red gram),2016-2017,347.00,401.00,1156,,,,
Haryana,,Arhar (Tur/Red gram),2016-2017,14.20,13.00,915,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),2016-2017,0.05,0.02,375,,,,
Jharkhand,,Arhar (Tur/Red gram),2016-2017,235.39,235.77,1002,,,,
Karnataka,,Arhar (Tur/Red gram),2016-2017,1214.00,908.86,749,,,,
Kerala,,Arhar (Tur/Red gram),2016-2017,0.18,0.28,1580,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),2016-2017,690.00,781.74,1133,,,,
Maharashtra,,Arhar (Tur/Red gram),2016-2017,1435.60,1495.75,1042,,,,
Manipur,,Arhar (Tur/Red gram),2016-2017,0.55,0.61,1109,,,,
Meghalaya,,Arhar (Tur/Red gram),2016-2017,1.17,1.52,1299,,,,
Mizoram,,Arhar (Tur/Red gram),2016-2017,0.32,0.31,965,,,,
Nagaland,,Arhar (Tur/Red gram),2016-2017,3.20,2.89,903,,,,
Odisha,,Arhar (Tur/Red gram),2016-2017,135.54,119.82,884,,,,
Punjab,,Arhar (Tur/Red gram),2016-2017,5.70,4.90,860,,,,
Rajasthan ,,Arhar (Tur/Red gram),2016-2017,17.86,19.43,1088,,,,
Tamil Nadu,,Arhar (Tur/Red gram),2016-2017,56.56,37.05,655,,,,
Telangana,,Arhar (Tur/Red gram),2016-2017,386.00,261.00,676,,,,
Tripura,,Arhar (Tur/Red gram),2016-2017,5.35,3.77,705,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),2016-2017,338.00,363.00,1074,,,,
Uttarakhand,,Arhar (Tur/Red gram),2016-2017,3.00,3.00,1000,,,,
West Bengal,,Arhar (Tur/Red gram),2016-2017,2.96,3.70,1249,,,,
India ,,Arhar (Tur/Red gram),2016-2017,5337.89,4873.24,913,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),2017-2018,279.00,119.97,430,,,,
Arunachal Pradesh,,Arhar (Tur/Red gram),2017-2018,0.81,0.66,825,,,,
Assam,,Arhar (Tur/Red gram),2017-2018,5.61,4.67,833,,,,
Bihar,,Arhar (Tur/Red gram),2017-2018,18.49,28.62,1548,,,,
Chhattisgarh,,Arhar (Tur/Red gram),2017-2018,57.71,34.68,601,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),2017-2018,1.55,1.55,1000,,,,
Delhi ,,Arhar (Tur/Red gram),2017-2018,-,0.00,-,,,,
Gujarat,,Arhar (Tur/Red gram),2017-2018,271.00,336.85,1243,,,,
Haryana,,Arhar (Tur/Red gram),2017-2018,4.10,4.50,1097,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),2017-2018,0.05,0.02,511,,,,
Jharkhand,,Arhar (Tur/Red gram),2017-2018,193.68,222.21,1147,,,,
Karnataka,,Arhar (Tur/Red gram),2017-2018,885.00,762.29,861,,,,
Kerala,,Arhar (Tur/Red gram),2017-2018,0.21,0.32,1560,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),2017-2018,647.00,839.00,1297,,,,
Maharashtra,,Arhar (Tur/Red gram),2017-2018,1240.70,1127.80,909,,,,
Manipur,,Arhar (Tur/Red gram),2017-2018,0.53,0.60,1132,,,,
Meghalaya,,Arhar (Tur/Red gram),2017-2018,1.18,1.53,1295,,,,
Mizoram,,Arhar (Tur/Red gram),2017-2018,0.24,0.25,1031,,,,
Nagaland,,Arhar (Tur/Red gram),2017-2018,3.20,2.92,913,,,,
Odisha,,Arhar (Tur/Red gram),2017-2018,137.89,123.69,897,,,,
Punjab,,Arhar (Tur/Red gram),2017-2018,2.60,2.68,1030,,,,
Rajasthan ,,Arhar (Tur/Red gram),2017-2018,12.45,12.66,1017,,,,
Tamil Nadu,,Arhar (Tur/Red gram),2017-2018,49.23,53.81,1093,,,,
Telangana,,Arhar (Tur/Red gram),2017-2018,330.00,263.34,798,,,,
Tripura,,Arhar (Tur/Red gram),2017-2018,5.59,4.13,738,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),2017-2018,282.00,331.35,1175,,,,
Uttarakhand,,Arhar (Tur/Red gram),2017-2018,4.00,3.87,967,,,,
West Bengal,,Arhar (Tur/Red gram),2017-2018,4.50,5.85,1300,,,,
India ,,Arhar (Tur/Red gram),2017-2018,4438.31,4289.82,967,,,,
Andaman & Nicobar Islands,Kharif,Arhar (Tur/Red gram),2018-2019,0.28,0.10,370,,,,
Andhra Pradesh,Kharif,Arhar (Tur/Red gram),2018-2019,250.00,45.50,182,,,,
Arunachal Pradesh,Kharif,Arhar (Tur/Red gram),2018-2019,0.82,0.71,864,,,,
Assam,Kharif,Arhar (Tur/Red gram),2018-2019,5.55,4.62,833,,,,
Bihar,Kharif,Arhar (Tur/Red gram),2018-2019,17.10,31.67,1852,,,,
Chhattisgarh,Kharif,Arhar (Tur/Red gram),2018-2019,67.53,32.41,480,,,,
Dadra & Nagar Haveli  ,Kharif,Arhar (Tur/Red gram),2018-2019,1.52,2.03,1335,,,,
Gujarat,Kharif,Arhar (Tur/Red gram),2018-2019,254.35,307.51,1209,,,,
Haryana,Kharif,Arhar (Tur/Red gram),2018-2019,1.90,2.30,1211,,,,
Himachal Pradesh,Kharif,Arhar (Tur/Red gram),2018-2019,0.05,0.02,510,,,,
Jharkhand,Kharif,Arhar (Tur/Red gram),2018-2019,231.04,234.27,1014,,,,
Karnataka,Kharif,Arhar (Tur/Red gram),2018-2019,1482.95,947.61,639,,,,
Kerala,Kharif,Arhar (Tur/Red gram),2018-2019,0.27,0.44,1674,,,,
Madhya Pradesh,Kharif,Arhar (Tur/Red gram),2018-2019,213.00,180.20,846,,,,
Maharashtra,Kharif,Arhar (Tur/Red gram),2018-2019,1261.30,834.48,662,,,,
Manipur,Kharif,Arhar (Tur/Red gram),2018-2019,0.53,0.56,1055,,,,
Meghalaya,Kharif,Arhar (Tur/Red gram),2018-2019,1.18,1.53,1295,,,,
Mizoram,Kharif,Arhar (Tur/Red gram),2018-2019,0.33,0.33,1006,,,,
Nagaland,Kharif,Arhar (Tur/Red gram),2018-2019,3.21,2.92,910,,,,
Odisha,Kharif,Arhar (Tur/Red gram),2018-2019,144.06,147.23,1022,,,,
Punjab,Kharif,Arhar (Tur/Red gram),2018-2019,2.30,2.41,1047,,,,
Rajasthan,Kharif,Arhar (Tur/Red gram),2018-2019,9.66,9.09,941,,,,
Tamil Nadu,Kharif,Arhar (Tur/Red gram),2018-2019,41.38,51.64,1248,,,,
Telangana,Kharif,Arhar (Tur/Red gram),2018-2019,296.00,191.51,647,,,,
Tripura,Kharif,Arhar (Tur/Red gram),2018-2019,5.63,4.28,759,,,,
Uttarakhand,Kharif,Arhar (Tur/Red gram),2018-2019,3.00,2.42,805,,,,
Uttar Pradesh,Kharif,Arhar (Tur/Red gram),2018-2019,251.00,272.08,1084,,,,
West Bengal,Kharif,Arhar (Tur/Red gram),2018-2019,3.61,5.56,1543,,,,
India,Kharif,Arhar (Tur/Red gram),2018-2019,4549.54,3315.44,729,,,,
Andhra Pradesh,Kharif,Arhar (Tur/Red gram),2019-2020,243.00,118.10,486,,,,
Arunachal Pradesh,Kharif,Arhar (Tur/Red gram),2019-2020,0.82,0.71,869,,,,
Assam,Kharif,Arhar (Tur/Red gram),2019-2020,5.83,5.04,864,,,,
Bihar,Kharif,Arhar (Tur/Red gram),2019-2020,16.75,28.16,1681,,,,
Chhattisgarh,Kharif,Arhar (Tur/Red gram),2019-2020,51.16,32.13,628,,,,
Dadra & Nagar Haveli  ,Kharif,Arhar (Tur/Red gram),2019-2020,1.40,1.40,1000,,,,
Daman & Diu  ,Kharif,Arhar (Tur/Red gram),2019-2020,0.04,0.04,1000,,,,
Gujarat,Kharif,Arhar (Tur/Red gram),2019-2020,212.70,210.79,991,,,,
Haryana,Kharif,Arhar (Tur/Red gram),2019-2020,1.11,1.24,1120,,,,
Himachal Pradesh,Kharif,Arhar (Tur/Red gram),2019-2020,0.08,0.05,650,,,,
Jharkhand,Kharif,Arhar (Tur/Red gram),2019-2020,230.56,241.63,1048,,,,
Karnataka,Kharif,Arhar (Tur/Red gram),2019-2020,1545.00,1126.31,729,,,,
Kerala,Kharif,Arhar (Tur/Red gram),2019-2020,0.31,0.52,1668,,,,
Madhya Pradesh,Kharif,Arhar (Tur/Red gram),2019-2020,249.00,274.65,1103,,,,
Maharashtra,Kharif,Arhar (Tur/Red gram),2019-2020,1195.50,1084.32,907,,,,
Manipur,Kharif,Arhar (Tur/Red gram),2019-2020,0.51,0.46,898,,,,
Meghalaya,Kharif,Arhar (Tur/Red gram),2019-2020,1.18,1.53,1298,,,,
Mizoram,Kharif,Arhar (Tur/Red gram),2019-2020,0.34,0.32,940,,,,
Nagaland,Kharif,Arhar (Tur/Red gram),2019-2020,3.21,2.92,910,,,,
Odisha,Kharif,Arhar (Tur/Red gram),2019-2020,128.63,144.58,1124,,,,
Punjab,Kharif,Arhar (Tur/Red gram),2019-2020,2.00,2.19,1095,,,,
Rajasthan,Kharif,Arhar (Tur/Red gram),2019-2020,8.86,5.19,586,,,,
Tamil Nadu,Kharif,Arhar (Tur/Red gram),2019-2020,41.81,53.22,1273,,,,
Telangana,Kharif,Arhar (Tur/Red gram),2019-2020,295.00,266.39,903,,,,
Tripura,Kharif,Arhar (Tur/Red gram),2019-2020,4.83,3.88,802,,,,
Uttarakhand,Kharif,Arhar (Tur/Red gram),2019-2020,3.00,2.55,851,,,,
Uttar Pradesh,Kharif,Arhar (Tur/Red gram),2019-2020,285.00,279.30,980,,,,
West Bengal,Kharif,Arhar (Tur/Red gram),2019-2020,4.85,4.13,852,,,,
India,Kharif,Arhar (Tur/Red gram),2019-2020,4532.47,3891.73,859,,,,
Andhra Pradesh,Kharif,Arhar (Tur/Red gram),2020-2021,231.00,83.85,363,,,,
Assam,Kharif,Arhar (Tur/Red gram),2020-2021,6.04,5.17,856,,,,
Bihar,Kharif,Arhar (Tur/Red gram),2020-2021,14.60,23.45,1606,,,,
Chhattisgarh,Kharif,Arhar (Tur/Red gram),2020-2021,45.36,27.17,599,,,,
Gujarat,Kharif,Arhar (Tur/Red gram),2020-2021,241.02,285.85,1186,,,,
Haryana,Kharif,Arhar (Tur/Red gram),2020-2021,0.82,1.03,1250,,,,
Himachal Pradesh,Kharif,Arhar (Tur/Red gram),2020-2021,0.01,0.01,875,,,,
Jharkhand,Kharif,Arhar (Tur/Red gram),2020-2021,235.39,259.87,1104,,,,
Karnataka,Kharif,Arhar (Tur/Red gram),2020-2021,1631.00,1237.93,759,,,,
Kerala,Kharif,Arhar (Tur/Red gram),2020-2021,0.20,0.33,1647,,,,
Madhya Pradesh,Kharif,Arhar (Tur/Red gram),2020-2021,219.00,285.80,1305,,,,
Maharashtra,Kharif,Arhar (Tur/Red gram),2020-2021,1274.02,1327.53,1042,,,,
Manipur,Kharif,Arhar (Tur/Red gram),2020-2021,0.56,0.57,1018,,,,
Meghalaya,Kharif,Arhar (Tur/Red gram),2020-2021,1.19,1.55,1302,,,,
Mizoram,Kharif,Arhar (Tur/Red gram),2020-2021,0.40,0.42,1030,,,,
Nagaland,Kharif,Arhar (Tur/Red gram),2020-2021,3.21,2.95,919,,,,
Odisha,Kharif,Arhar (Tur/Red gram),2020-2021,129.69,151.22,1166,,,,
Punjab,Kharif,Arhar (Tur/Red gram),2020-2021,1.80,2.09,1163,,,,
Rajasthan,Kharif,Arhar (Tur/Red gram),2020-2021,7.77,6.83,879,,,,
Tamil Nadu,Kharif,Arhar (Tur/Red gram),2020-2021,47.33,49.63,1049,,,,
Telangana,Kharif,Arhar (Tur/Red gram),2020-2021,325.70,252.42,775,,,,
Tripura,Kharif,Arhar (Tur/Red gram),2020-2021,4.84,3.78,780,,,,
Uttarakhand,Kharif,Arhar (Tur/Red gram),2020-2021,3.00,3.56,1185,,,,
Uttar Pradesh,Kharif,Arhar (Tur/Red gram),2020-2021,296.00,297.48,1005,,,,
West Bengal,Kharif,Arhar (Tur/Red gram),2020-2021,4.49,5.43,1210,,,,
India,Kharif,Arhar (Tur/Red gram),2020-2021,4724.45,4315.90,914,,,,
Andhra Pradesh,Kharif,Arhar (Tur/Red gram),2021-2022,251.00,68.02,271,,,,
Arunachal Pradesh,Kharif,Arhar (Tur/Red gram),2021-2022,0.85,0.75,879,,,,
Assam,Kharif,Arhar (Tur/Red gram),2021-2022,5.81,4.98,858,,,,
Bihar,Kharif,Arhar (Tur/Red gram),2021-2022,12.99,20.87,1607,,,,
Chhattisgarh,Kharif,Arhar (Tur/Red gram),2021-2022,43.44,24.93,574,,,,
Gujarat,Kharif,Arhar (Tur/Red gram),2021-2022,250.84,291.23,1161,,,,
Haryana,Kharif,Arhar (Tur/Red gram),2021-2022,1.15,1.36,1181,,,,
Himachal Pradesh,Kharif,Arhar (Tur/Red gram),2021-2022,0.02,0.01,875,,,,
Jharkhand,Kharif,Arhar (Tur/Red gram),2021-2022,253.64,286.36,1129,,,,
Karnataka,Kharif,Arhar (Tur/Red gram),2021-2022,1719.00,1144.85,666,,,,
Kerala,Kharif,Arhar (Tur/Red gram),2021-2022,0.18,0.30,1652,,,,
Madhya Pradesh,Kharif,Arhar (Tur/Red gram),2021-2022,225.00,189.90,844,,,,
Maharashtra,Kharif,Arhar (Tur/Red gram),2021-2022,1335.10,1391.17,1042,,,,
Manipur,Kharif,Arhar (Tur/Red gram),2021-2022,0.55,0.54,982,,,,
Meghalaya,Kharif,Arhar (Tur/Red gram),2021-2022,1.19,1.56,1305,,,,
Mizoram,Kharif,Arhar (Tur/Red gram),2021-2022,0.37,0.38,1022,,,,
Nagaland,Kharif,Arhar (Tur/Red gram),2021-2022,0.43,0.38,880,,,,
Odisha,Kharif,Arhar (Tur/Red gram),2021-2022,126.06,130.60,1036,,,,
Punjab,Kharif,Arhar (Tur/Red gram),2021-2022,1.40,1.42,1014,,,,
Rajasthan,Kharif,Arhar (Tur/Red gram),2021-2022,7.36,6.74,915,,,,
Tamil Nadu,Kharif,Arhar (Tur/Red gram),2021-2022,48.31,45.22,936,,,,
Telangana,Kharif,Arhar (Tur/Red gram),2021-2022,314.00,241.47,769,,,,
Tripura,Kharif,Arhar (Tur/Red gram),2021-2022,5.27,4.13,783,,,,
Uttarakhand,Kharif,Arhar (Tur/Red gram),2021-2022,3.00,3.20,1066,,,,
Uttar Pradesh,Kharif,Arhar (Tur/Red gram),2021-2022,290.00,354.67,1223,,,,
West Bengal,Kharif,Arhar (Tur/Red gram),2021-2022,3.29,5.16,1569,,,,
India,Kharif,Arhar (Tur/Red gram),2021-2022,4900.26,4220.19,861,,,,
