States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
West Bengal,Total,Urad,1976-1977,164.00,87.00,530
India,Total,Urad,1976-1977,2074.00,693.00,334
Andhra Pradesh,Kharif,Urad,1977-1978,43.00,12.00,279
Bihar,Kharif,Urad,1977-1978,110.00,44.00,400
Dadra & Nagar Haveli  ,Kharif,Urad,1977-1978,2.00,1.00,500
Haryana,Kharif,Urad,1977-1978,10.00,6.00,600
Himachal Pradesh,Kharif,Urad,1977-1978,20.00,6.00,300
Jammu & Kashmir,Kharif,Urad,1977-1978,23.00,9.00,391
Karnataka,Kharif,Urad,1977-1978,40.00,12.00,300
Kerala,Kharif,Urad,1977-1978,3.00,1.00,333
Madhya Pradesh,Kharif,Urad,1977-1978,600.00,169.00,282
Maharashtra,Kharif,Urad,1977-1978,465.00,165.00,355
Rajasthan,Kharif,Urad,1977-1978,108.00,52.00,481
Tamil Nadu,Kharif,Urad,1977-1978,146.00,62.00,425
Tripura,Kharif,Urad,1977-1978,1.00,-,-
Uttar Pradesh,Kharif,Urad,1977-1978,148.00,55.00,372
West Bengal,Kharif,Urad,1977-1978,24.00,16.00,667
India,Kharif,Urad,1977-1978,1744.00,610.00,350
Andhra Pradesh,Rabi,Urad,1977-1978,112.00,39.00,348
Assam,Rabi,Urad,1977-1978,48.00,15.00,313
Karnataka,Rabi,Urad,1977-1978,7.00,1.00,143
Madhya Pradesh,Rabi,Urad,1977-1978,68.00,12.00,176
Maharashtra,Rabi,Urad,1977-1978,38.00,8.00,211
Puducherry,Rabi,Urad,1977-1978,4.00,2.00,500
West Bengal,Rabi,Urad,1977-1978,151.00,60.00,397
India,Rabi,Urad,1977-1978,428.00,137.00,319
Andhra Pradesh,Total,Urad,1977-1978,155.00,50.00,323
Assam,Total,Urad,1977-1978,48.00,15.00,313
Bihar,Total,Urad,1977-1978,110.00,44.00,400
Dadra & Nagar Haveli  ,Total,Urad,1977-1978,2.00,1.00,500
Haryana,Total,Urad,1977-1978,10.00,6.00,600
Himachal Pradesh,Total,Urad,1977-1978,20.00,5.00,250
Jammu & Kashmir,Total,Urad,1977-1978,23.00,9.00,391
Karnataka,Total,Urad,1977-1978,47.00,13.00,277
Kerala,Total,Urad,1977-1978,3.00,1.00,333
Madhya Pradesh,Total,Urad,1977-1978,668.00,182.00,272
Maharashtra,Total,Urad,1977-1978,503.00,172.00,342
Puducherry,Total,Urad,1977-1978,4.00,2.00,500
Rajasthan,Total,Urad,1977-1978,108.00,52.00,481
Tamil Nadu,Total,Urad,1977-1978,146.00,62.00,425
Tripura,Total,Urad,1977-1978,1.00,1.00,1000
Uttar Pradesh,Total,Urad,1977-1978,148.00,55.00,372
West Bengal,Total,Urad,1977-1978,175.00,76.00,434
India,Total,Urad,1977-1978,2172.00,747.00,344
Andhra Pradesh,Kharif,Urad,1978-1979,48.00,8.00,167
Bihar,Kharif,Urad,1978-1979,101.00,49.00,485
Dadra & Nagar Haveli  ,Kharif,Urad,1978-1979,2.00,1.00,500
Haryana,Kharif,Urad,1978-1979,8.00,5.00,625
Himachal Pradesh,Kharif,Urad,1978-1979,24.00,9.00,375
Jammu & Kashmir,Kharif,Urad,1978-1979,25.00,11.00,440
Karnataka,Kharif,Urad,1978-1979,47.00,13.00,277
Kerala,Kharif,Urad,1978-1979,3.00,2.00,667
Madhya Pradesh,Kharif,Urad,1978-1979,620.00,146.00,235
Maharashtra,Kharif,Urad,1978-1979,453.00,148.00,327
Punjab,Kharif,Urad,1978-1979,22.00,10.00,455
Rajasthan,Kharif,Urad,1978-1979,112.00,36.00,321
Tamil Nadu,Kharif,Urad,1978-1979,167.00,65.00,389
Tripura,Kharif,Urad,1978-1979,1.00,-,-
Uttar Pradesh,Kharif,Urad,1978-1979,174.00,43.00,247
West Bengal,Kharif,Urad,1978-1979,23.00,14.00,609
India,Kharif,Urad,1978-1979,1831.00,559.00,305
Andhra Pradesh,Rabi,Urad,1978-1979,179.00,90.00,503
Assam,Rabi,Urad,1978-1979,48.00,18.00,375
Karnataka,Rabi,Urad,1978-1979,7.00,1.00,143
Madhya Pradesh,Rabi,Urad,1978-1979,66.00,10.00,152
Maharashtra,Rabi,Urad,1978-1979,37.00,9.00,243
Puducherry,Rabi,Urad,1978-1979,4.00,2.00,500
West Bengal,Rabi,Urad,1978-1979,102.00,37.00,363
India,Rabi,Urad,1978-1979,443.00,167.00,377
Andhra Pradesh,Total,Urad,1978-1979,227.00,98.00,432
Assam,Total,Urad,1978-1979,48.00,18.00,375
Bihar,Total,Urad,1978-1979,101.00,49.00,485
Dadra & Nagar Haveli  ,Total,Urad,1978-1979,2.00,1.00,500
Haryana,Total,Urad,1978-1979,8.00,5.00,625
Himachal Pradesh,Total,Urad,1978-1979,24.00,9.00,375
Jammu & Kashmir,Total,Urad,1978-1979,25.00,11.00,440
Karnataka,Total,Urad,1978-1979,54.00,14.00,259
Kerala,Total,Urad,1978-1979,3.00,2.00,667
Madhya Pradesh,Total,Urad,1978-1979,686.00,156.00,227
Maharashtra,Total,Urad,1978-1979,490.00,157.00,320
Puducherry,Total,Urad,1978-1979,4.00,2.00,500
Punjab,Total,Urad,1978-1979,22.00,10.00,455
Rajasthan,Total,Urad,1978-1979,112.00,36.00,321
Tamil Nadu,Total,Urad,1978-1979,167.00,65.00,389
Tripura,Total,Urad,1978-1979,1.00,-,-
Uttar Pradesh,Total,Urad,1978-1979,174.00,43.00,247
West Bengal,Total,Urad,1978-1979,125.00,52.00,416
India,Total,Urad,1978-1979,2274.00,727.00,320
Andhra Pradesh,Kharif,Urad,1979-1980,55.00,13.00,236
Bihar,Kharif,Urad,1979-1980,113.00,40.00,354
Dadra & Nagar Haveli  ,Kharif,Urad,1979-1980,2.00,1.00,500
Haryana,Kharif,Urad,1979-1980,10.00,6.00,600
Himachal Pradesh,Kharif,Urad,1979-1980,10.00,2.00,200
Jammu & Kashmir,Kharif,Urad,1979-1980,21.00,8.00,381
Karnataka,Kharif,Urad,1979-1980,54.00,13.00,241
Kerala,Kharif,Urad,1979-1980,3.00,1.00,333
Madhya Pradesh,Kharif,Urad,1979-1980,658.00,112.00,170
Maharashtra,Kharif,Urad,1979-1980,428.00,140.00,327
Odisha,Kharif,Urad,1979-1980,84.00,24.00,286
Punjab,Kharif,Urad,1979-1980,20.00,7.00,350
Rajasthan,Kharif,Urad,1979-1980,128.00,16.00,125
Tamil Nadu,Kharif,Urad,1979-1980,172.00,56.00,326
Tripura,Kharif,Urad,1979-1980,1.00,-,-
Uttar Pradesh,Kharif,Urad,1979-1980,204.00,33.00,162
West Bengal,Kharif,Urad,1979-1980,33.00,20.00,606
India,Kharif,Urad,1979-1980,1996.00,495.00,248
Andhra Pradesh,Rabi,Urad,1979-1980,189.00,79.00,418
Assam,Rabi,Urad,1979-1980,46.00,15.00,326
Karnataka,Rabi,Urad,1979-1980,6.00,1.00,167
Madhya Pradesh,Rabi,Urad,1979-1980,47.00,6.00,128
Maharashtra,Rabi,Urad,1979-1980,24.00,7.00,292
Odisha,Rabi,Urad,1979-1980,299.00,102.00,341
Puducherry,Rabi,Urad,1979-1980,4.00,2.00,500
West Bengal,Rabi,Urad,1979-1980,108.00,49.00,454
India,Rabi,Urad,1979-1980,723.00,262.00,363
Andhra Pradesh,Total,Urad,1979-1980,244.00,92.00,377
Assam,Total,Urad,1979-1980,46.00,15.00,326
Bihar,Total,Urad,1979-1980,113.00,40.00,354
Dadra & Nagar Haveli  ,Total,Urad,1979-1980,2.00,1.00,500
Haryana,Total,Urad,1979-1980,10.00,6.00,600
Himachal Pradesh,Total,Urad,1979-1980,10.00,2.00,200
Jammu & Kashmir,Total,Urad,1979-1980,21.00,8.00,381
Karnataka,Total,Urad,1979-1980,60.00,14.00,233
Kerala,Total,Urad,1979-1980,3.00,1.00,333
Madhya Pradesh,Total,Urad,1979-1980,705.00,119.00,169
Maharashtra,Total,Urad,1979-1980,452.00,147.00,325
Odisha,Total,Urad,1979-1980,382.00,126.00,330
Puducherry,Total,Urad,1979-1980,4.00,2.00,500
Punjab,Total,Urad,1979-1980,20.00,7.00,350
Rajasthan,Total,Urad,1979-1980,128.00,16.00,125
Tamil Nadu,Total,Urad,1979-1980,172.00,56.00,326
Tripura,Total,Urad,1979-1980,1.00,-,-
Uttar Pradesh,Total,Urad,1979-1980,204.00,33.00,162
West Bengal,Total,Urad,1979-1980,142.00,69.00,486
India,Total,Urad,1979-1980,2719.00,757.00,278
