States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Karnataka,,Total Pulses,1967-1968,1146.00,355.00,310
Kerala,,Total Pulses,1967-1968,43.00,17.00,392
Madhya Pradesh,,Total Pulses,1967-1968,4030.00,1663.00,413
Maharashtra,,Total Pulses,1967-1968,2379.00,822.00,345
Odisha,,Total Pulses,1967-1968,732.00,339.00,463
Punjab,,Total Pulses,1967-1968,625.00,506.00,809
Rajasthan,,Total Pulses,1967-1968,3503.00,1512.00,431
Tamil Nadu,,Total Pulses,1967-1968,404.00,97.00,240
Tripura,,Total Pulses,1967-1968,3.00,1.00,333
Uttar Pradesh,,Total Pulses,1967-1968,4092.00,3286.00,803
West Bengal,,Total Pulses,1967-1968,704.00,366.00,520
India,,Total Pulses,1967-1968,22649.00,12102.00,534
Andhra Pradesh,,Total Pulses,1968-1969,1252.00,250.00,200
Assam,,Total Pulses,1968-1969,90.00,32.00,353
Bihar,,Total Pulses,1968-1969,1587.00,1006.00,634
Dadra & Nagar Haveli  ,,Total Pulses,1968-1969,-,1.00,-
Delhi,,Total Pulses,1968-1969,13.00,11.00,846
Gujarat,,Total Pulses,1968-1969,428.00,124.00,289
Haryana,,Total Pulses,1968-1969,876.00,625.00,713
Himachal Pradesh,,Total Pulses,1968-1969,62.00,22.00,357
Jammu & Kashmir,,Total Pulses,1968-1969,58.00,31.00,595
Karnataka,,Total Pulses,1968-1969,1107.00,386.00,348
Kerala,,Total Pulses,1968-1969,43.00,17.00,391
Madhya Pradesh,,Total Pulses,1968-1969,4026.00,1647.00,409
Maharashtra,,Total Pulses,1968-1969,2358.00,874.00,371
Odisha,,Total Pulses,1968-1969,815.00,400.00,491
Punjab,,Total Pulses,1968-1969,380.00,248.00,652
Rajasthan,,Total Pulses,1968-1969,2957.00,857.00,290
Tamil Nadu,,Total Pulses,1968-1969,391.00,92.00,235
Tripura,,Total Pulses,1968-1969,3.00,1.00,333
Uttar Pradesh,,Total Pulses,1968-1969,4070.00,3284.00,807
West Bengal,,Total Pulses,1968-1969,746.00,508.00,681
India,,Total Pulses,1968-1969,21264.00,10418.00,490
Andhra Pradesh,,Total Pulses,1969-1970,1362.00,263.00,193
Assam,,Total Pulses,1969-1970,93.00,36.00,391
