States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Odisha,Rabi,Moong,2003-2004,125.00,31.00,252
Puducherry,Rabi,Moong,2003-2004,1.00,-,308
Tamil Nadu,Rabi,Moong,2003-2004,89.00,38.00,424
Uttar Pradesh,Rabi,Moong,2003-2004,59.00,31.00,528
West Bengal,Rabi,Moong,2003-2004,10.00,4.00,427
India,Rabi,Moong,2003-2004,707.00,276.00,390
Andhra Pradesh,Total,Moong,2003-2004,681.00,312.00,458
Assam,Total,Moong,2003-2004,8.00,4.00,500
Bihar,Total,Moong,2003-2004,190.00,93.00,491
Chhattisgarh,Total,Moong,2003-2004,18.00,5.00,265
Gujarat,Total,Moong,2003-2004,212.00,124.00,584
Haryana,Total,Moong,2003-2004,25.00,4.00,159
Jammu & Kashmir,Total,Moong,2003-2004,2.00,1.00,500
Jharkhand,Total,Moong,2003-2004,13.00,5.00,392
Karnataka,Total,Moong,2003-2004,273.00,42.00,154
Madhya Pradesh,Total,Moong,2003-2004,92.00,32.00,352
Maharashtra,Total,Moong,2003-2004,711.00,395.00,555
Odisha,Total,Moong,2003-2004,257.00,60.00,234
Puducherry,Total,Moong,2003-2004,1.00,-,308
Punjab,Total,Moong,2003-2004,19.00,16.00,836
Rajasthan,Total,Moong,2003-2004,829.00,514.00,620
Tamil Nadu,Total,Moong,2003-2004,126.00,53.00,424
Tripura,Total,Moong,2003-2004,1.00,1.00,1000
Uttar Pradesh,Total,Moong,2003-2004,85.00,39.00,463
West Bengal,Total,Moong,2003-2004,11.00,5.00,432
India,Total,Moong,2003-2004,3548.00,1702.00,480
Andhra Pradesh,Kharif,Moong,2004-2005,304.00,111.00,363
Bihar,Kharif,Moong,2004-2005,7.00,4.00,493
Chhattisgarh,Kharif,Moong,2004-2005,10.00,3.00,260
Gujarat,Kharif,Moong,2004-2005,173.00,72.00,414
Haryana,Kharif,Moong,2004-2005,30.00,11.00,383
Jammu & Kashmir,Kharif,Moong,2004-2005,2.00,1.00,474
Jharkhand,Kharif,Moong,2004-2005,12.00,6.00,526
